code,trustId
E05004568,RHU
E05004575,RHU
E05004524,RHU
E05002444,RHU
E05002451,RHU
E05001718,RJL
E05001721,RJL
E05001723,RJL
E05001725,RJL
E05001727,RJL
E05000347,RQM
E05000360,RQM
E05000362,RQM
E05000363,RQM
E05005989,RNQ
E05005994,RNQ
E05005987,RNQ
E05005988,RNQ
E05006002,RNQ
E05008550,RNQ
W05000889,7A5
W05000891,7A5
W05001022,7A5
E05000933,RVY
E05000938,RVY
E05000948,RVY
E05005372,RVY
E05000108,RJZ
E05000117,RJZ
E05000122,RJZ
E05000124,RJZ
E05000895,REM
E05000903,REM
E05000911,REM
E05000946,REM
E05010935,REM
E05010332,RXQ
E05010333,RXQ
E05010336,RXQ
E05010354,RXQ
E05010359,RXQ
E05000896,REM
E05000899,REM
E05000900,REM
E05000905,REM
E05000906,REM
E05000907,REM
E05000954,RBL
E05000961,RBL
E05000962,RBL
E05000968,RBL
E05000970,RBL
E05000973,RBL
E05000975,RBL
E05007679,RXH
E05007686,RXH
E05007687,RXH
E05007691,RXH
E05007693,RXH
E05011603,RXH
E05010867,RHQ
E05010875,RHQ
E05010882,RHQ
E05004193,RQ8
E05004205,RQ8
E05004190,RQ8
E05004201,RQ8
E05004445,RN5
E05004449,RN5
W05000857,7A4
W05000862,7A4
W05000867,7A4
W05000873,7A4
W05000876,7A4
W05001011,7A4
W05001012,7A4
E05000955,RBL
E05000967,RBL
E05000972,RBL
E05000974,RBL
E05009971,RXW
E05009974,RXW
E05009975,RXW
E05009977,RXW
E05009991,RXW
E05012800,RGR
E05012802,RGR
E05012789,RGR
E05000252,NV7
E05009390,NV7
E05009393,NV7
E05009395,NV7
E05009397,NV7
E05009401,NV7
E05000260,RQM
E05009389,RQM
E05009391,RQM
E05009402,RQM
E05009403,RQM
E05000045,RAL
E05000052,RAL
E05000128,RAL
E05000133,RAL
E05000134,RAL
E05000137,RAL
E05000093,R1K
E05000097,R1K
E05000101,R1K
E05000288,R1K
E05000295,R1K
E05011256,RGN
E05011258,RGN
E05011260,RGN
E05011262,RGN
E05011266,RGN
E05011279,RGN
W05000833,7A6
W05000838,7A6
W05000845,7A6
W05000849,7A6
E05011388,RR8
E05011400,RR8
E05009621,RWD
E05009622,RWD
E05009628,RWD
E05009631,RWD
E05009632,RWD
E05009634,RWD
E05009635,RWD
E05009898,RWD
